Local Date/Time	Relative Time	oven:setpoint [°C]
06/15/2022 13:23:41	00:00:39.956	45.000
06/15/2022 13:23:41	00:00:40.056	45.000
06/15/2022 13:23:41	00:00:40.156	45.000
06/15/2022 13:23:41	00:00:40.256	45.000
06/15/2022 13:23:41	00:00:40.356	45.000
06/15/2022 13:23:41	00:00:40.458	45.000
06/15/2022 13:23:41	00:00:40.560	45.000
06/15/2022 13:23:41	00:00:40.662	45.000
06/15/2022 13:23:41	00:00:40.764	45.000
06/15/2022 13:23:42	00:00:40.866	45.000
06/15/2022 13:23:42	00:00:40.969	45.000
06/15/2022 13:23:42	00:00:41.071	45.000
06/15/2022 13:23:42	00:00:41.173	45.000
06/15/2022 13:23:42	00:00:41.274	45.000
06/15/2022 13:23:42	00:00:41.375	45.000
06/15/2022 13:23:42	00:00:41.476	45.000
06/15/2022 13:23:42	00:00:41.576	45.000
06/15/2022 13:23:42	00:00:41.676	45.000
06/15/2022 13:23:42	00:00:41.778	45.000
06/15/2022 13:23:43	00:00:41.880	45.000
06/15/2022 13:23:43	00:00:41.982	45.000
06/15/2022 13:23:43	00:00:42.084	45.000
06/15/2022 13:23:43	00:00:42.186	45.000
06/15/2022 13:23:43	00:00:42.289	45.000
06/15/2022 13:23:43	00:00:42.391	45.000
06/15/2022 13:23:43	00:00:42.493	45.000
06/15/2022 13:23:43	00:00:42.594	45.000
06/15/2022 13:23:43	00:00:42.695	45.000
06/15/2022 13:23:43	00:00:42.797	45.000
06/15/2022 13:23:44	00:00:42.898	45.000
06/15/2022 13:23:44	00:00:42.998	45.000
06/15/2022 13:23:44	00:00:43.098	45.000
06/15/2022 13:23:44	00:00:43.200	45.000
06/15/2022 13:23:44	00:00:43.302	45.000
06/15/2022 13:23:44	00:00:43.404	45.000
06/15/2022 13:23:44	00:00:43.506	45.000
06/15/2022 13:23:44	00:00:43.608	45.000
06/15/2022 13:23:44	00:00:43.711	45.000
06/15/2022 13:23:44	00:00:43.813	45.000
06/15/2022 13:23:45	00:00:43.915	45.000
06/15/2022 13:23:45	00:00:44.016	45.000
06/15/2022 13:23:45	00:00:44.116	45.000
06/15/2022 13:23:45	00:00:44.216	45.000
06/15/2022 13:23:45	00:00:44.316	45.000
06/15/2022 13:23:45	00:00:44.416	45.000
06/15/2022 13:23:45	00:00:44.518	45.000
06/15/2022 13:23:45	00:00:44.620	45.000
06/15/2022 13:23:45	00:00:44.722	45.000
06/15/2022 13:23:45	00:00:44.824	45.000
06/15/2022 13:23:46	00:00:44.926	45.000
06/15/2022 13:23:46	00:00:45.028	45.000
06/15/2022 13:23:46	00:00:45.131	45.000
06/15/2022 13:23:46	00:00:45.233	45.000
06/15/2022 13:23:46	00:00:45.334	45.000
06/15/2022 13:23:46	00:00:45.434	45.000
06/15/2022 13:23:46	00:00:45.534	45.000
06/15/2022 13:23:46	00:00:45.634	45.000
06/15/2022 13:23:46	00:00:45.734	45.000
06/15/2022 13:23:46	00:00:45.834	45.000
06/15/2022 13:23:47	00:00:45.936	45.000
06/15/2022 13:23:47	00:00:46.038	45.000
06/15/2022 13:23:47	00:00:46.140	45.000
06/15/2022 13:23:47	00:00:46.242	45.000
06/15/2022 13:23:47	00:00:46.344	45.000
06/15/2022 13:23:47	00:00:46.446	45.000
06/15/2022 13:23:47	00:00:46.549	45.000
06/15/2022 13:23:47	00:00:46.651	45.000
06/15/2022 13:23:47	00:00:46.753	45.000
06/15/2022 13:23:48	00:00:46.855	45.000
06/15/2022 13:23:48	00:00:46.956	45.000
06/15/2022 13:23:48	00:00:47.056	45.000
06/15/2022 13:23:48	00:00:47.156	45.000
06/15/2022 13:23:48	00:00:47.258	45.000
06/15/2022 13:23:48	00:00:47.360	45.000
06/15/2022 13:23:48	00:00:47.462	45.000
06/15/2022 13:23:48	00:00:47.564	45.000
06/15/2022 13:23:48	00:00:47.666	45.000
06/15/2022 13:23:48	00:00:47.768	45.000
06/15/2022 13:23:48	00:00:47.870	45.000
06/15/2022 13:23:49	00:00:47.973	45.000
06/15/2022 13:23:49	00:00:48.075	45.000
06/15/2022 13:23:49	00:00:48.177	45.000
06/15/2022 13:23:49	00:00:48.279	45.000
06/15/2022 13:23:49	00:00:48.381	45.000
06/15/2022 13:23:49	00:00:48.482	45.000
06/15/2022 13:23:49	00:00:48.582	45.000
06/15/2022 13:23:49	00:00:48.682	45.000
06/15/2022 13:23:49	00:00:48.784	45.000
06/15/2022 13:23:50	00:00:48.886	45.000
06/15/2022 13:23:50	00:00:48.988	45.000
06/15/2022 13:23:50	00:00:49.090	45.000
06/15/2022 13:23:50	00:00:49.192	45.000
06/15/2022 13:23:50	00:00:49.294	45.000
06/15/2022 13:23:50	00:00:49.397	45.000
06/15/2022 13:23:50	00:00:49.499	45.000
06/15/2022 13:23:50	00:00:49.600	45.000
06/15/2022 13:23:50	00:00:49.700	45.000
06/15/2022 13:23:50	00:00:49.800	45.000
06/15/2022 13:23:51	00:00:49.900	45.000
06/15/2022 13:23:51	00:00:50.002	45.000
06/15/2022 13:23:51	00:00:50.104	45.000
06/15/2022 13:23:51	00:00:50.206	45.000
06/15/2022 13:23:51	00:00:50.308	45.000
06/15/2022 13:23:51	00:00:50.410	45.000
06/15/2022 13:23:51	00:00:50.512	45.000
06/15/2022 13:23:51	00:00:50.614	45.000
06/15/2022 13:23:51	00:00:50.716	45.000
06/15/2022 13:23:51	00:00:50.819	45.000
06/15/2022 13:23:52	00:00:50.920	45.000
06/15/2022 13:23:52	00:00:51.020	45.000
06/15/2022 13:23:52	00:00:51.120	45.000
