Local Date/Time	Relative Time	valve-t:angle [degrees]
06/15/2022 13:44:40	00:21:39.689	120.000
06/15/2022 13:44:41	00:21:40.692	120.000
06/15/2022 13:44:42	00:21:41.692	120.000
06/15/2022 13:44:43	00:21:42.712	120.000
06/15/2022 13:44:44	00:21:43.699	120.000
06/15/2022 13:44:45	00:21:44.724	120.000
06/15/2022 13:44:46	00:21:45.715	120.000
06/15/2022 13:44:47	00:21:46.716	120.000
06/15/2022 13:44:48	00:21:47.716	120.000
06/15/2022 13:44:49	00:21:48.732	120.000
06/15/2022 13:44:50	00:21:49.745	120.000
06/15/2022 13:44:51	00:21:50.753	120.000
06/15/2022 13:44:52	00:21:51.760	120.000
06/15/2022 13:44:53	00:21:52.760	120.000
06/15/2022 13:44:54	00:21:53.762	120.000
06/15/2022 13:44:55	00:21:54.765	120.000
06/15/2022 13:44:56	00:21:55.778	120.000
06/15/2022 13:44:57	00:21:56.779	120.000
06/15/2022 13:44:58	00:21:57.791	120.000
06/15/2022 13:44:59	00:21:58.806	120.000
06/15/2022 13:45:00	00:21:59.807	120.000
06/15/2022 13:45:01	00:22:00.823	120.000
06/15/2022 13:45:02	00:22:01.824	120.000
06/15/2022 13:45:03	00:22:02.838	120.000
06/15/2022 13:45:04	00:22:03.839	120.000
