Local Date/Time	Relative Time	pump-a:pressure [bar]
06/15/2022 13:49:08	00:26:06.914	373.647
06/15/2022 13:49:09	00:26:08.386	373.647
06/15/2022 13:49:10	00:26:09.385	373.647
06/15/2022 13:49:11	00:26:09.385	373.647
06/15/2022 13:49:11	00:26:09.658	373.528
06/15/2022 13:49:12	00:26:11.405	373.528
06/15/2022 13:49:13	00:26:11.405	373.528
06/15/2022 13:49:13	00:26:12.398	373.390
06/15/2022 13:49:14	00:26:13.417	373.390
06/15/2022 13:49:15	00:26:14.433	373.390
06/15/2022 13:49:16	00:26:14.433	373.390
06/15/2022 13:49:16	00:26:15.140	373.272
06/15/2022 13:49:17	00:26:15.446	373.410
06/15/2022 13:49:17	00:26:15.753	373.252
06/15/2022 13:49:18	00:26:17.279	373.371
06/15/2022 13:49:19	00:26:17.990	373.233
06/15/2022 13:49:20	00:26:19.010	373.410
06/15/2022 13:49:21	00:26:20.229	373.272
06/15/2022 13:49:22	00:26:21.471	373.272
06/15/2022 13:49:23	00:26:22.477	373.272
06/15/2022 13:49:24	00:26:23.478	373.272
06/15/2022 13:49:25	00:26:23.478	373.272
06/15/2022 13:49:25	00:26:24.396	373.114
06/15/2022 13:49:26	00:26:24.598	372.976
06/15/2022 13:49:26	00:26:25.104	373.094
06/15/2022 13:49:27	00:26:25.619	372.976
06/15/2022 13:49:27	00:26:26.428	373.094
06/15/2022 13:49:28	00:26:27.142	372.937
06/15/2022 13:49:29	00:26:27.952	373.075
06/15/2022 13:49:30	00:26:29.070	373.213
06/15/2022 13:49:30	00:26:29.478	373.075
06/15/2022 13:49:31	00:26:30.513	373.075
06/15/2022 13:49:32	00:26:30.513	373.075
06/15/2022 13:49:32	00:26:31.514	373.252
06/15/2022 13:49:33	00:26:31.814	373.114
06/15/2022 13:49:33	00:26:32.018	372.976
06/15/2022 13:49:34	00:26:32.834	373.094
06/15/2022 13:49:35	00:26:33.542	372.976
06/15/2022 13:49:36	00:26:34.870	373.134
06/15/2022 13:49:36	00:26:35.278	373.016
06/15/2022 13:49:37	00:26:36.500	373.134
06/15/2022 13:49:38	00:26:37.560	373.134
06/15/2022 13:49:39	00:26:37.560	373.134
06/15/2022 13:49:39	00:26:37.618	372.996
06/15/2022 13:49:40	00:26:39.574	372.996
06/15/2022 13:49:41	00:26:40.590	372.996
06/15/2022 13:49:42	00:26:41.605	372.996
06/15/2022 13:49:43	00:26:42.609	372.996
06/15/2022 13:49:44	00:26:42.609	372.996
06/15/2022 13:49:44	00:26:42.900	373.134
06/15/2022 13:49:45	00:26:43.920	373.016
06/15/2022 13:49:46	00:26:44.836	373.154
06/15/2022 13:49:46	00:26:45.141	373.292
06/15/2022 13:49:47	00:26:45.650	373.173
06/15/2022 13:49:48	00:26:47.642	373.173
06/15/2022 13:49:49	00:26:48.656	373.173
06/15/2022 13:49:50	00:26:49.666	373.173
06/15/2022 13:49:51	00:26:49.666	373.173
06/15/2022 13:49:51	00:26:50.126	373.035
06/15/2022 13:49:51	00:26:50.534	373.154
06/15/2022 13:49:52	00:26:51.656	373.016
06/15/2022 13:49:53	00:26:52.063	373.173
06/15/2022 13:49:53	00:26:52.470	373.035
06/15/2022 13:49:54	00:26:53.182	373.173
06/15/2022 13:49:54	00:26:53.487	373.311
06/15/2022 13:49:55	00:26:53.792	373.173
06/15/2022 13:49:55	00:26:54.094	373.035
06/15/2022 13:49:55	00:26:54.502	373.154
06/15/2022 13:49:56	00:26:55.698	373.154
06/15/2022 13:49:57	00:26:56.698	373.154
06/15/2022 13:49:58	00:26:56.698	373.154
06/15/2022 13:49:58	00:26:57.246	373.035
06/15/2022 13:49:59	00:26:58.260	372.917
06/15/2022 13:50:00	00:26:59.278	373.035
06/15/2022 13:50:01	00:27:00.090	372.897
06/15/2022 13:50:02	00:27:00.800	373.035
06/15/2022 13:50:02	00:27:01.719	372.858
06/15/2022 13:50:03	00:27:02.025	372.700
06/15/2022 13:50:03	00:27:02.228	372.818
06/15/2022 13:50:04	00:27:03.552	372.661
06/15/2022 13:50:05	00:27:04.743	372.661
06/15/2022 13:50:06	00:27:04.743	372.661
06/15/2022 13:50:06	00:27:04.877	372.523
06/15/2022 13:50:07	00:27:06.760	372.523
06/15/2022 13:50:08	00:27:06.760	372.523
06/15/2022 13:50:08	00:27:07.722	372.404
06/15/2022 13:50:09	00:27:08.769	372.404
06/15/2022 13:50:10	00:27:08.769	372.404
06/15/2022 13:50:10	00:27:09.144	372.542
06/15/2022 13:50:11	00:27:09.962	372.404
06/15/2022 13:50:12	00:27:11.180	372.266
06/15/2022 13:50:13	00:27:11.992	372.148
06/15/2022 13:50:13	00:27:12.400	372.286
06/15/2022 13:50:14	00:27:13.516	372.128
06/15/2022 13:50:15	00:27:13.924	372.247
06/15/2022 13:50:15	00:27:14.128	372.385
06/15/2022 13:50:15	00:27:14.735	372.247
06/15/2022 13:50:16	00:27:15.757	372.108
06/15/2022 13:50:17	00:27:16.829	372.108
06/15/2022 13:50:18	00:27:17.830	372.108
06/15/2022 13:50:19	00:27:18.838	372.108
06/15/2022 13:50:20	00:27:19.845	372.108
06/15/2022 13:50:21	00:27:20.858	372.108
06/15/2022 13:50:22	00:27:20.858	372.108
06/15/2022 13:50:22	00:27:21.447	371.990
06/15/2022 13:50:23	00:27:22.867	372.108
06/15/2022 13:50:24	00:27:23.871	372.108
06/15/2022 13:50:25	00:27:23.871	372.108
06/15/2022 13:50:25	00:27:24.297	372.227
06/15/2022 13:50:26	00:27:25.625	372.345
06/15/2022 13:50:27	00:27:26.132	372.463
06/15/2022 13:50:27	00:27:26.438	372.325
06/15/2022 13:50:27	00:27:26.850	372.463
06/15/2022 13:50:28	00:27:26.951	372.641
06/15/2022 13:50:30	00:27:28.170	372.503
06/15/2022 13:50:31	00:27:29.286	372.385
06/15/2022 13:50:31	00:27:29.591	372.247
06/15/2022 13:50:32	00:27:30.197	372.108
06/15/2022 13:50:32	00:27:30.708	372.247
