Local Date/Time	Relative Time	pump-b:pressure [bar]
06/15/2022 13:27:53	00:04:51.657	0.670
06/15/2022 13:27:54	00:04:53.292	0.670
06/15/2022 13:27:55	00:04:54.293	0.670
06/15/2022 13:27:56	00:04:54.293	0.670
06/15/2022 13:27:56	00:04:55.002	0.809
06/15/2022 13:27:57	00:04:55.707	0.690
06/15/2022 13:27:58	00:04:57.308	0.690
06/15/2022 13:27:59	00:04:57.308	0.690
06/15/2022 13:27:59	00:04:57.635	0.809
06/15/2022 13:27:59	00:04:58.035	0.670
06/15/2022 13:28:00	00:04:58.745	0.789
06/15/2022 13:28:01	00:05:00.337	0.789
06/15/2022 13:28:02	00:05:01.337	0.789
06/15/2022 13:28:03	00:05:01.337	0.789
06/15/2022 13:28:03	00:05:02.000	0.651
06/15/2022 13:28:04	00:05:03.337	0.651
06/15/2022 13:28:05	00:05:03.337	0.651
06/15/2022 13:28:05	00:05:03.923	0.769
06/15/2022 13:28:05	00:05:04.331	0.651
06/15/2022 13:28:06	00:05:05.366	0.651
06/15/2022 13:28:07	00:05:05.366	0.651
06/15/2022 13:28:07	00:05:05.547	0.789
06/15/2022 13:28:08	00:05:07.370	0.789
06/15/2022 13:28:09	00:05:08.384	0.789
06/15/2022 13:28:10	00:05:08.384	0.789
06/15/2022 13:28:10	00:05:08.385	0.670
06/15/2022 13:28:10	00:05:09.295	0.809
06/15/2022 13:28:11	00:05:10.111	0.670
06/15/2022 13:28:11	00:05:10.315	0.789
06/15/2022 13:28:12	00:05:11.416	0.789
06/15/2022 13:28:13	00:05:12.416	0.789
06/15/2022 13:28:14	00:05:13.416	0.789
06/15/2022 13:28:15	00:05:13.416	0.789
06/15/2022 13:28:15	00:05:13.659	0.670
06/15/2022 13:28:16	00:05:14.773	0.809
06/15/2022 13:28:17	00:05:16.433	0.809
06/15/2022 13:28:18	00:05:17.430	0.809
06/15/2022 13:28:19	00:05:18.432	0.809
06/15/2022 13:28:20	00:05:19.431	0.809
06/15/2022 13:28:21	00:05:20.433	0.809
06/15/2022 13:28:22	00:05:20.433	0.809
