Local Date/Time	Relative Time	pump-a:volume [%]
06/15/2022 13:26:56	00:03:54.963	75.773
06/15/2022 13:26:57	00:03:55.962	75.773
06/15/2022 13:26:58	00:03:55.962	75.773
06/15/2022 13:26:58	00:03:56.655	75.783
06/15/2022 13:26:59	00:03:57.978	75.783
06/15/2022 13:27:00	00:03:58.977	75.783
06/15/2022 13:27:01	00:03:59.979	75.783
06/15/2022 13:27:02	00:04:00.993	75.783
06/15/2022 13:27:03	00:04:01.995	75.783
06/15/2022 13:27:04	00:04:01.995	75.783
06/15/2022 13:27:04	00:04:02.742	75.793
06/15/2022 13:27:05	00:04:03.996	75.793
06/15/2022 13:27:06	00:04:05.011	75.793
06/15/2022 13:27:07	00:04:06.024	75.793
06/15/2022 13:27:08	00:04:07.040	75.793
06/15/2022 13:27:09	00:04:08.052	75.793
06/15/2022 13:27:10	00:04:08.052	75.793
06/15/2022 13:27:10	00:04:09.030	75.803
06/15/2022 13:27:11	00:04:10.072	75.803
06/15/2022 13:27:12	00:04:11.089	75.803
06/15/2022 13:27:13	00:04:12.090	75.803
06/15/2022 13:27:14	00:04:13.090	75.803
06/15/2022 13:27:15	00:04:14.090	75.803
06/15/2022 13:27:16	00:04:15.102	75.803
06/15/2022 13:27:17	00:04:15.102	75.803
06/15/2022 13:27:17	00:04:15.320	75.813
06/15/2022 13:27:18	00:04:17.115	75.813
06/15/2022 13:27:19	00:04:18.128	75.813
06/15/2022 13:27:20	00:04:19.140	75.813
06/15/2022 13:27:21	00:04:20.149	75.813
06/15/2022 13:27:22	00:04:21.163	75.813
06/15/2022 13:27:23	00:04:21.163	75.813
06/15/2022 13:27:23	00:04:21.602	75.823
06/15/2022 13:27:24	00:04:23.166	75.823
06/15/2022 13:27:25	00:04:24.170	75.823
06/15/2022 13:27:26	00:04:25.181	75.823
06/15/2022 13:27:27	00:04:26.196	75.823
06/15/2022 13:27:28	00:04:27.196	75.823
06/15/2022 13:27:29	00:04:27.196	75.823
06/15/2022 13:27:29	00:04:27.940	75.833
06/15/2022 13:27:30	00:04:29.197	75.833
06/15/2022 13:27:31	00:04:30.198	75.833
06/15/2022 13:27:32	00:04:31.197	75.833
06/15/2022 13:27:33	00:04:32.198	75.833
06/15/2022 13:27:34	00:04:33.213	75.833
06/15/2022 13:27:35	00:04:33.213	75.833
06/15/2022 13:27:35	00:04:33.930	75.843
06/15/2022 13:27:36	00:04:35.213	75.843
06/15/2022 13:27:37	00:04:36.227	75.843
06/15/2022 13:27:38	00:04:37.229	75.843
06/15/2022 13:27:39	00:04:38.234	75.843
06/15/2022 13:27:40	00:04:39.229	75.843
06/15/2022 13:27:41	00:04:40.244	75.843
06/15/2022 13:27:42	00:04:40.244	75.843
06/15/2022 13:27:42	00:04:40.413	75.854
06/15/2022 13:27:43	00:04:42.245	75.854
06/15/2022 13:27:44	00:04:43.245	75.854
06/15/2022 13:27:45	00:04:44.245	75.854
06/15/2022 13:27:46	00:04:45.245	75.854
06/15/2022 13:27:47	00:04:46.260	75.854
06/15/2022 13:27:48	00:04:46.260	75.854
06/15/2022 13:27:48	00:04:46.691	75.864
06/15/2022 13:27:49	00:04:48.274	75.864
06/15/2022 13:27:50	00:04:49.275	75.864
06/15/2022 13:27:51	00:04:50.275	75.864
06/15/2022 13:27:52	00:04:51.276	75.864
06/15/2022 13:27:53	00:04:52.277	75.864
06/15/2022 13:27:54	00:04:52.277	75.864
06/15/2022 13:27:54	00:04:52.975	75.874
06/15/2022 13:27:55	00:04:54.293	75.874
06/15/2022 13:27:56	00:04:55.293	75.874
06/15/2022 13:27:57	00:04:56.294	75.874
06/15/2022 13:27:58	00:04:57.308	75.874
06/15/2022 13:27:59	00:04:58.330	75.874
06/15/2022 13:28:00	00:04:58.330	75.874
06/15/2022 13:28:00	00:04:59.253	75.884
06/15/2022 13:28:01	00:05:00.337	75.884
06/15/2022 13:28:02	00:05:01.337	75.884
06/15/2022 13:28:03	00:05:02.337	75.884
06/15/2022 13:28:04	00:05:03.337	75.884
06/15/2022 13:28:05	00:05:04.351	75.884
06/15/2022 13:28:06	00:05:05.366	75.884
06/15/2022 13:28:07	00:05:05.366	75.884
06/15/2022 13:28:07	00:05:05.853	75.894
06/15/2022 13:28:08	00:05:07.370	75.894
06/15/2022 13:28:09	00:05:08.384	75.894
06/15/2022 13:28:10	00:05:09.385	75.894
06/15/2022 13:28:11	00:05:10.401	75.894
06/15/2022 13:28:12	00:05:11.416	75.894
06/15/2022 13:28:13	00:05:11.416	75.894
06/15/2022 13:28:13	00:05:11.937	75.904
06/15/2022 13:28:14	00:05:13.416	75.904
06/15/2022 13:28:15	00:05:14.417	75.904
06/15/2022 13:28:16	00:05:15.430	75.904
06/15/2022 13:28:17	00:05:16.433	75.904
06/15/2022 13:28:18	00:05:17.430	75.904
06/15/2022 13:28:19	00:05:17.430	75.904
06/15/2022 13:28:19	00:05:18.327	75.914
06/15/2022 13:28:20	00:05:19.431	75.914
06/15/2022 13:28:21	00:05:20.433	75.914
06/15/2022 13:28:22	00:05:21.451	75.914
06/15/2022 13:28:23	00:05:22.462	75.914
